"species","lon","lat"
"Harpia harpyja",-40.72053,-20.44208
"Harpia harpyja",-40.06748,-19.17202
"Harpia harpyja",-55.52124,-11.90397
"Harpia harpyja",-47.3536,-2.9913
"Harpia harpyja",-55.1128,5.06222
"Harpia harpyja",-52.52765,4.03403
"Harpia harpyja",-55.463,-11.90279
"Harpia harpyja",-52.68018,4.08753
"Harpia harpyja",-56.24197,-16.74237
"Harpia harpyja",-40.02841,-19.00211
"Harpia harpyja",-55.82782,-9.49933
"Harpia harpyja",-50.14744,-6.06105
"Harpia harpyja",-50.02773,-6.153
"Harpia harpyja",-68.66096,-12.7423
"Harpia harpyja",-70.22063,-4.36701
"Harpia harpyja",-60.72754,2.75256
"Harpia harpyja",-55.84365,-9.75312
"Harpia harpyja",-50.08304,-6.08215
"Harpia harpyja",-60.61698,2.64694
"Harpia harpyja",-53.26107,3.69234
"Harpia harpyja",-53.90449,3.5355
"Harpia harpyja",-53.41397,4.59457
"Harpia harpyja",-52.0676,4.47525
"Harpia harpyja",-53.30211,4.58764
"Harpia harpyja",-53.24865,4.67709
"Harpia harpyja",-53.11744,3.76701
"Harpia harpyja",-53.7546,5.15062
"Harpia harpyja",-52.19369,4.56617
"Harpia harpyja",-56.07738,-9.94909
"Harpia harpyja",-56.09607,-9.89169
"Harpia harpyja",-52.3073,4.7216
"Harpia harpyja",-52.7835,5.1154
"Harpia harpyja",-52.15049,4.19527
"Harpia harpyja",-53.21884,3.58007
"Harpia harpyja",-53.77619,2.37986
"Harpia harpyja",-59.9675,-2.85796
"Harpia harpyja",-67.75397,-10.06749
"Harpia harpyja",-69.49856,-12.86036
"Harpia harpyja",-70.19233,-12.55827
"Harpia harpyja",-56.3223,4.64918
"Harpia harpyja",-59.0091,4.1896
"Harpia harpyja",-70.3078,-4.30108
"Harpia harpyja",-59.89136,-2.99791
"Harpia harpyja",-40.04003,-19.06838
"Harpia harpyja",-49.34155,-6.79831
"Harpia harpyja",-56.8664,-15.185
"Harpia harpyja",-68.606,-13.7657
"Harpia harpyja",-59.86853,-3.05229
"Harpia harpyja",-58.76273,3.72462
"Harpia harpyja",-64.95164,-15.32121
"Harpia harpyja",-71.42789,-13.1042
"Harpia harpyja",-49.96186,-6.48705
"Harpia harpyja",-55.49589,4.65069
"Harpia harpyja",-56.14028,4.80781
"Harpia harpyja",-57.47772,-15.67223
"Harpia harpyja",-69.40876,-12.88277
"Harpia harpyja",-55.4359,4.643
"Harpia harpyja",-57.21162,4.41385
"Harpia harpyja",-55.92393,-9.63409
"Harpia harpyja",-55.97045,-9.44853
"Harpia harpyja",-56.86054,3.45089
"Harpia harpyja",-68.91214,-12.588
"Harpia harpyja",-39.1689,-16.3875
"Harpia harpyja",-56.70492,2.93249
"Harpia harpyja",-55.98068,-9.72411
"Harpia harpyja",-58.40972,-10.19039
"Harpia harpyja",-47.2533,-2.8982
"Harpia harpyja",-65.17242,-10.83527
"Harpia harpyja",-68.65379,-12.4107
"Harpia harpyja",-59.10965,4.19055
"Harpia harpyja",-39.87467,-19.07937
"Harpia harpyja",-51.48492,-1.63792
"Harpia harpyja",-51.4556,-1.7375
"Harpia harpyja",-54.9167,-3.4834
