"","locs$lon","locs$lat"
"5",-55.1128,5.06222
"15",-70.22063,-4.36701
"18",-50.08304,-6.08215
"21",-53.90449,3.5355
"26",-53.11744,3.76701
"32",-52.7835,5.1154
"34",-53.21884,3.58007
"35",-53.77619,2.37986
"37",-67.75397,-10.06749
"47",-68.606,-13.7657
"56",-69.40876,-12.88277
"60",-55.97045,-9.44853
"68",-65.17242,-10.83527
"69",-68.65379,-12.4107
"72",-51.48492,-1.63792
"74",-54.9167,-3.4834
"75",-52.3377,4.8084
"76",-55.9,-9.9
"80",-39.04663,-16.24534
"84",-59.22545,3.29753
"86",-59.82994,-2.89024
"87",-50.32631,-6.18011
"88",-59.89214,-2.81913
"90",-55.89385,-9.58418
"93",-60.13083,-2.60056
"98",-59.14074,3.48124
"99",-59.14995,3.43493
"103",-58.812,3.192
"114",-76.63347,-0.22235
"116",-77.60607,8.51509
"119",-76.59632,-0.26195
"122",-77.7643,8.18252
"125",-76.54618,-0.21617
"131",-75.60365,-0.38521
"146",-78.23407,7.87331
"161",-77.79507,8.02647
"166",-77.27054,6.031
"178",-61.70871,8.08432
"180",-61.6714,8.1101
"187",-59.5594,3.417
"190",-76.05803,7.910582
"193",-40.049486,-12.267403
"194",-79.366621,-0.583409
"197",-89.0477,16.420401
"205",-54.459797,-24.813085
"210",-59.735827,3.166983
"215",-55.372629,-24.132562
"225",-62.1098,7.6997
"234",-61.5424,8.2328
"243",-90.966824,16.883262
"250",-67.766615,-12.516729
"253",-79.121274,0.689093
"259",-60.9833,-3.7
"271",-54.621213,-25.687219
"274",-48.31,-3.7966
"277",-58.730213,4.363154
"281",-78.215883,8.690625
"285",-78.7997,0.8679
"288",-62.915454,9.91255
"293",-69.601268,-12.998171
"295",-61.192773,-14.784324
"298",-56.827019,-20.572505
"301",-63.607093,6.356682
"303",-55.77266,-15.448213
"310",-56.721734,2.356061
"312",-55.70112,-21.309271
"313",-55.545363,-20.396734
"318",-71.97169,6.494795
"338",-57.913063,-15.3044
"353",-40.549031,-19.876117
"354",-76.433061,-4.901091
"356",-61.59745,-8.605513
"361",-56.845389,-16.818136
"362",-52.578644,-3.664541
"363",-52.393757,-3.52287
"365",-51.917368,-3.397374
"368",-50.007738,-6.053964
"371",-46.764884,-3.889118
"373",-77.507142,7.728461
"381",-58.469103,-10.483105
"385",-56.363442,-9.656386
"405",-61.5769,-11.4167
"407",-59.725553,-2.829389
"411",-55.844323,-10.805889
"415",-52.928164,-3.735022
"427",-50.248499,-7.977546
"429",-50.061653,-6.191101
"431",-47.221809,-2.853059
"435",-58.7001,-9.7072
"451",-57.1722,-9.8828
"456",-54.2759,-12.3273
"457",-54.392055,-25.56663
"464",-40.481277,-19.454335
"467",-64.916135,-2.958719
