"","locs$lon","locs$lat"
"2",-40.06748,-19.17202
"12",-50.14744,-6.06105
"16",-60.72754,2.75256
"20",-53.26107,3.69234
"23",-52.0676,4.47525
"32",-52.7835,5.1154
"38",-69.49856,-12.86036
"41",-59.0091,4.1896
"42",-70.3078,-4.30108
"45",-49.34155,-6.79831
"53",-55.49589,4.65069
"62",-68.91214,-12.588
"92",-61.10856,-2.08002
"102",-61.008,-13.535
"108",-76.43068,-0.3864
"110",-76.16558,-0.05323
"111",-77.86,8.55
"115",-79.10753,0.58352
"116",-77.60607,8.51509
"117",-76.6254,-0.4116
"119",-76.59632,-0.26195
"125",-76.54618,-0.21617
"130",-77.23935,6.33289
"133",-77.88112,8.24048
"136",-77.60845,8.17454
"156",-77.9997,8.1506
"157",-77.8681,8.6032
"162",-76.34353,-0.48983
"166",-77.27054,6.031
"168",-77.6568,8.03763
"177",-54.81897,5.62807
"184",-61.79501,7.85573
"188",-49.504025,-27.160824
"189",-49.028596,-27.705135
"191",-52.246641,-15.977138
"201",-71.316651,-11.850074
"203",-54.537248,-25.699139
"211",-56.332642,-1.335039
"216",-54.696711,-25.074913
"223",-62.4032,8.2507
"229",-61.8433,7.8654
"230",-61.6908,8.1694
"236",-61.5061,8.4286
"245",-88.884784,16.060501
"246",-75.78,-0.3114
"254",-78.049897,8.233289
"258",-69.2167,-12.7167
"261",-60.8,-3.6167
"263",-60.0982,-3.6998
"267",-56.51,-2.7044
"279",-50.000833,-9.403611
"283",-48.671112,-15.523912
"284",-47.006944,-19.885
"286",-73.556,-3.928
"291",-46.422345,-9.590857
"294",-67.763862,-10.238098
"295",-61.192773,-14.784324
"298",-56.827019,-20.572505
"305",-52.413803,-13.523935
"309",-60.1075333,-2.3535167
"317",-72.229173,6.155152
"327",-63.759876,-8.469841
"329",-62.072168,-9.753214
"332",-61.084642,-3.015901
"338",-57.913063,-15.3044
"339",-57.600515,-19.200076
"340",-57.468802,-17.667357
"346",-55.119087,-11.143496
"347",-54.932586,-2.578737
"348",-49.950181,-9.322877
"355",-64.407059,-12.359742
"368",-50.007738,-6.053964
"370",-48.994796,-5.538439
"372",-46.684337,-3.593914
"376",-61.333514,0.55536
"381",-58.469103,-10.483105
"384",-56.550176,-9.586056
"389",-54.751878,-11.621775
"402",-61.933642,-10.220167
"404",-61.7947,-11.3749
"405",-61.5769,-11.4167
"406",-59.936536,-2.963637
"408",-59.446454,-10.176821
"409",-56.774103,-8.94742
"420",-51.677472,-1.977489
"428",-50.198786,-9.834702
"432",-40.080565,-19.020832
"441",-58.3023,-9.7834
"447",-57.8731,-9.8323
"454",-55.6666,-10.9364
"456",-54.2759,-12.3273
"464",-40.481277,-19.454335
"467",-64.916135,-2.958719
"468",-63.106929,-2.296579
