"","locs$lon","locs$lat"
"7",-55.463,-11.90279
"8",-52.68018,4.08753
"18",-50.08304,-6.08215
"19",-60.61698,2.64694
"21",-53.90449,3.5355
"34",-53.21884,3.58007
"35",-53.77619,2.37986
"42",-70.3078,-4.30108
"44",-40.04003,-19.06838
"52",-49.96186,-6.48705
"71",-39.87467,-19.07937
"75",-52.3377,4.8084
"77",-69.40713,-12.81407
"89",-69.51987,-12.90363
"91",-57.18554,-15.10446
"95",-58.76711,3.64682
"96",-56.60886,4.60433
"98",-59.14074,3.48124
"112",-76.47187,-0.66332
"119",-76.59632,-0.26195
"123",-79.79183,9.10971
"129",-74.45149,1.55983
"136",-77.60845,8.17454
"138",-77.95551,8.03333
"143",-77.66219,8.33994
"144",-77.9861,8.70102
"146",-78.23407,7.87331
"153",-77.75071,8.72872
"156",-77.9997,8.1506
"162",-76.34353,-0.48983
"163",-77.30477,-1.14714
"164",-76.13023,-0.5247
"166",-77.27054,6.031
"168",-77.6568,8.03763
"170",-76.11299,-0.58412
"171",-77.6253,8.78123
"173",-77.74176,8.02205
"177",-54.81897,5.62807
"178",-61.70871,8.08432
"187",-59.5594,3.417
"203",-54.537248,-25.699139
"219",-62.654,7.2499
"220",-62.4945,6.8073
"230",-61.6908,8.1694
"242",-48.1666667,-3.75
"244",-69.616661,-13.133365
"250",-67.766615,-12.516729
"251",-42.533397,-19.641462
"253",-79.121274,0.689093
"254",-78.049897,8.233289
"258",-69.2167,-12.7167
"260",-60.8833,-3.6656
"263",-60.0982,-3.6998
"265",-59.7689,-2.4456
"271",-54.621213,-25.687219
"285",-78.7997,0.8679
"287",-65.344942,9.033056
"290",-48.806326,-27.920901
"294",-67.763862,-10.238098
"302",-60.090132,-1.747709
"303",-55.77266,-15.448213
"304",-55.639401,-12.367805
"310",-56.721734,2.356061
"318",-71.97169,6.494795
"322",-61.345973,1.841201
"323",-56.688134,-16.480959
"326",-51.078109,-7.07457
"334",-60.195197,-14.889368
"336",-60.044498,-2.051111
"338",-57.913063,-15.3044
"350",-48.852036,-15.792894
"354",-76.433061,-4.901091
"358",-60.010302,-2.923397
"373",-77.507142,7.728461
"374",-66.102219,-14.651153
"379",-60.063376,-2.627824
"385",-56.363442,-9.656386
"388",-55.578357,-11.921917
"389",-54.751878,-11.621775
"393",-50.630469,-9.64061
"394",-50.593565,-3.537878
"396",-50.197606,-4.337173
"403",-61.8446,-11.4781
"405",-61.5769,-11.4167
"407",-59.725553,-2.829389
"415",-52.928164,-3.735022
"425",-50.460663,-13.559624
"430",-48.494558,-8.006239
"435",-58.7001,-9.7072
"438",-58.3468,-11.0333
"453",-56.3682,-9.8267
"455",-55.6159,-11.6015
"462",-44.729143,-23.311734
"465",-39.907922,-15.869288
