"","locs$lon","locs$lat"
"9",-56.24197,-16.74237
"10",-40.02841,-19.00211
"25",-53.24865,4.67709
"37",-67.75397,-10.06749
"46",-56.8664,-15.185
"47",-68.606,-13.7657
"52",-49.96186,-6.48705
"59",-55.92393,-9.63409
"68",-65.17242,-10.83527
"74",-54.9167,-3.4834
"75",-52.3377,4.8084
"77",-69.40713,-12.81407
"78",-71.64855,-12.14765
"80",-39.04663,-16.24534
"85",-40.64864,-20.56392
"88",-59.89214,-2.81913
"90",-55.89385,-9.58418
"94",-68.6274,-13.59402
"97",-56.14152,-9.93661
"98",-59.14074,3.48124
"99",-59.14995,3.43493
"104",-59.563,3.359
"111",-77.86,8.55
"116",-77.60607,8.51509
"134",-77.7711,8.34905
"135",-77.78625,8.08274
"137",-77.36973,6.31404
"145",-77.67844,8.12844
"153",-77.75071,8.72872
"155",-75.43058,-0.9768
"163",-77.30477,-1.14714
"173",-77.74176,8.02205
"174",-60.96456,7.42719
"178",-61.70871,8.08432
"199",-50.416667,2
"202",-68.64975,-9.249613
"209",-78.611506,0.552251
"213",-65.409839,-3.139541
"215",-55.372629,-24.132562
"218",-62.8852,7.4436
"224",-62.2171,8.0897
"228",-61.9186,7.7509
"243",-90.966824,16.883262
"247",-69.305881,-12.774502
"251",-42.533397,-19.641462
"252",-41.820158,-19.727751
"255",-48.324722,-6.839069
"256",-74.5928,-5.201307
"265",-59.7689,-2.4456
"275",-84.314379,10.95969
"279",-50.000833,-9.403611
"280",-79.67353,9.097916
"283",-48.671112,-15.523912
"296",-59.626111,-1.605278
"301",-63.607093,6.356682
"306",-39.9455838,-19.133915
"307",-88.860399,16.627568
"310",-56.721734,2.356061
"312",-55.70112,-21.309271
"313",-55.545363,-20.396734
"316",-39.552033,-15.416536
"319",-63.665921,-8.867192
"322",-61.345973,1.841201
"325",-54.252028,-9.816156
"326",-51.078109,-7.07457
"333",-61.01152,-3.519443
"337",-59.899304,-2.925708
"340",-57.468802,-17.667357
"345",-55.988001,-9.246894
"349",-48.999082,-2.896834
"350",-48.852036,-15.792894
"363",-52.393757,-3.52287
"364",-51.935694,-3.515558
"381",-58.469103,-10.483105
"385",-56.363442,-9.656386
"392",-51.459413,-3.582407
"393",-50.630469,-9.64061
"396",-50.197606,-4.337173
"398",-39.137302,-16.341623
"401",-62.2188,-10.7251
"402",-61.933642,-10.220167
"405",-61.5769,-11.4167
"409",-56.774103,-8.94742
"429",-50.061653,-6.191101
"434",-59.61,-9.946
"435",-58.7001,-9.7072
"437",-58.3626,-9.9903
"443",-58.2803,-9.6873
"444",-58.0374,-9.9999
"447",-57.8731,-9.8323
"454",-55.6666,-10.9364
"455",-55.6159,-11.6015
"458",-53.06714,-25.423455
"463",-40.553339,-19.740151
